Structure,timesteps,loss,metrics,vector_size,avg_epochs,avg_loss,avg_valid_loss,unstable_loss,stable_loss
lstm->lstm,,,,,,,,,
,16,mae,mse,{'units': 4},22,0.022895401,0.023870753,0.031359777,0.029477005
,16,mae,mse,{'units': 8},34,0.011070542,0.011824396,0.017014903,0.015717901
,32,mse,mse,{'units': 1},23.66666667,0.003881158,0.004406923,0.00584195,0.005228848
,32,mse,mse,{'units': 2},34.66666667,0.002502887,0.00280508,0.004501166,0.003930634
,32,mse,mse,{'units': 4},37.33333333,0.001329663,0.001465359,0.00278765,0.002281511
,32,mse,mse,{'units': 8},38.66666667,0.000359415,0.000408927,0.000600588,0.000584
,32,mae,mse,{'units': 1},23.33333333,0.03794682,0.040206672,0.050115588,0.045400602
,32,mae,mse,{'units': 2},22.33333333,0.030597633,0.031513286,0.043093943,0.039255177
,32,mae,mse,{'units': 4},31.66666667,0.022947378,0.023946298,0.031121202,0.029263976
,32,mae,mse,{'units': 8},39,0.011165626,0.011917799,0.017212171,0.015880306
,64,mse,mse,{'units': 1},33.33333333,0.003904342,0.004422676,0.005817133,0.00519307
,64,mse,mse,{'units': 2},35.33333333,0.002529868,0.002796793,0.004493782,0.003949338
,64,mse,mse,{'units': 4},40,0.001367826,0.001527876,0.002824674,0.002271746
,64,mse,mse,{'units': 8},40,0.000398414,0.000472699,0.000749055,0.000678592
,64,mae,mse,{'units': 1},36,0.038111441,0.04040375,0.050399552,0.045785281
,64,mae,mse,{'units': 2},39.33333333,0.030565872,0.031537971,0.042779442,0.03894221
,64,mae,mse,{'units': 4},38,0.023393935,0.024576846,0.030819579,0.029467694
,64,mae,mse,{'units': 8},40,0.011897181,0.012734515,0.017778725,0.016023713
,128,mse,mse,{'units': 1},38.66666667,0.004073039,0.004572421,0.005772418,0.005133017
,128,mse,mse,{'units': 2},40,0.002613483,0.002824883,0.004429483,0.003968276
,128,mse,mse,{'units': 4},40,0.001442618,0.001597887,0.002845329,0.002282915
,128,mse,mse,{'units': 8},40,0.000524143,0.000622388,0.000776097,0.000709799
,128,mae,mse,{'units': 1},38.66666667,0.038610702,0.040898609,0.05062175,0.046044417
,128,mae,mse,{'units': 2},40,0.032349084,0.033758152,0.044470223,0.040215115
,128,mae,mse,{'units': 4},40,0.024215382,0.025207957,0.032100167,0.029949049
,128,mae,mse,{'units': 8},40,0.013691897,0.014055177,0.019186224,0.017365865
conv1d->lstm,,,,,,,,,
,16,mse,mse,{'filters': 1},37,0.002837233,0.003134326,0.004870491,0.004061301
,16,mse,mse,{'filters': 2},35,0.002208349,0.002317007,0.004118788,0.003592343
,16,mse,mse,{'filters': 4},35,0.001031444,0.00107573,0.002460034,0.001813446
,16,mse,mse,{'filters': 8},30,0.00023576,0.000304693,0.000484817,0.000483014
,16,mae,mse,{'filters': 1},39.33333333,0.03218694,0.033045859,0.04484872,0.039743525
,16,mae,mse,{'filters': 2},40,0.027466978,0.028383407,0.038877122,0.034916778
,16,mae,mse,{'filters': 4},29.33333333,0.020923395,0.021615521,0.030845088,0.027604754
,16,mae,mse,{'filters': 8},40,0.009732337,0.010294991,0.014421695,0.014431532
,32,mse,mse,{'filters': 1},33,0.003715117,0.004254417,0.005758801,0.004959252
,32,mse,mse,{'filters': 2},35.33333333,0.002285236,0.002405603,0.004230569,0.003700299
,32,mse,mse,{'filters': 4},38,0.00106566,0.001112661,0.00244213,0.001810467
,32,mse,mse,{'filters': 8},36,0.000250297,0.000326168,0.000499222,0.000499758
,32,mae,mse,{'filters': 1},40,0.036913595,0.038784288,0.050168189,0.045222409
,32,mae,mse,{'filters': 2},33,0.028920296,0.029880296,0.041447222,0.037172067
,32,mae,mse,{'filters': 4},39.66666667,0.020858259,0.021626835,0.032448658,0.028213954
,32,mae,mse,{'filters': 8},40,0.010150637,0.010788318,0.014725608,0.014480141
,64,mse,mse,{'filters': 1},30,0.003812412,0.004344544,0.005743075,0.005039071
,64,mse,mse,{'filters': 2},40,0.002374357,0.002580432,0.004297143,0.003628219
,64,mse,mse,{'filters': 4},40,0.001120502,0.001205828,0.002446493,0.001825259
,64,mse,mse,{'filters': 8},40,0.00029271,0.000348687,0.000563425,0.000548043
,64,mae,mse,{'filters': 1},36,0.037830586,0.039824168,0.050963814,0.045886531
,64,mae,mse,{'filters': 2},37,0.029213039,0.030087954,0.041748814,0.037699747
,64,mae,mse,{'filters': 4},39.33333333,0.022080823,0.022880679,0.030525364,0.028684015
,64,mae,mse,{'filters': 8},40,0.010867636,0.01154496,0.015639824,0.014910136
,128,mse,mse,{'units': 1},38.66666667,0.004073039,0.004572421,0.005772418,0.005133017
,128,mse,mse,{'units': 2},40,0.002613483,0.002824883,0.004429483,0.003968276
,128,mse,mse,{'units': 4},40,0.001442618,0.001597887,0.002845329,0.002282915
,128,mse,mse,{'units': 8},40,0.000524143,0.000622388,0.000776097,0.000709799
,128,mae,mse,{'units': 1},38.66666667,0.038610702,0.040898609,0.05062175,0.046044417
,128,mae,mse,{'units': 2},40,0.032349084,0.033758152,0.044470223,0.040215115
,128,mae,mse,{'units': 4},40,0.024215382,0.025207957,0.032100167,0.029949049
,128,mae,mse,{'units': 8},40,0.013691897,0.014055177,0.019186224,0.017365865
