Structure,timesteps,loss,metrics,vector_size,avg_epochs,avg_loss,avg_valid_loss,avg_test_loss_0,avg_test_loss_1
lstm->lstm,,,,,,,,,
,16,mae,mse,{'units': 2},26,0.041155805,0.042469166,0.056777218,0.041403778
,16,mae,mse,{'units': 4},29.66666667,0.029732147,0.031596782,0.043493509,0.032298098
,16,mae,mse,{'units': 8},38.33333333,0.014878451,0.015616094,0.021645083,0.017173354
,32,mse,mse,{'units': 1},39.66666667,0.005269703,0.005460138,0.01840842,0.010890174
,32,mse,mse,{'units': 2},40,0.003834052,0.004018797,0.006305058,0.004082231
,32,mse,mse,{'units': 4},40,0.002091941,0.002274949,0.003243714,0.00181147
,32,mse,mse,{'units': 8},40,0.000584571,0.000632514,0.000937778,0.000555434
,32,mae,mse,{'units': 1},37,0.050294911,0.051098086,0.103247814,0.082801998
,32,mae,mse,{'units': 2},38,0.041734926,0.043079517,0.057680583,0.043058321
,32,mae,mse,{'units': 4},40,0.029791203,0.03171146,0.041672384,0.032313542
,32,mae,mse,{'units': 8},40,0.017576081,0.018376086,0.024091023,0.01902537
,64,mse,mse,{'units': 1},40,0.005531376,0.005704915,0.019222254,0.011361986
,64,mse,mse,{'units': 2},40,0.004212648,0.004398098,0.007456676,0.004619217
,64,mse,mse,{'units': 4},40,0.002414018,0.002562389,0.004009643,0.002316772
,64,mse,mse,{'units': 8},40,0.000993768,0.001055129,0.001823553,0.001000801
,64,mae,mse,{'units': 1},40,0.051238704,0.052228842,0.103561195,0.083046084
,64,mae,mse,{'units': 2},40,0.04290846,0.044479135,0.059904903,0.045457943
,64,mae,mse,{'units': 4},40,0.032226804,0.03385437,0.04358425,0.033328154
,64,mae,mse,{'units': 8},40,0.019623108,0.021079306,0.026014725,0.020459639
,128,mse,mse,{'units': 1},40,0.008140996,0.008001703,0.018160127,0.009811871
,128,mse,mse,{'units': 2},40,0.006089025,0.006206654,0.015434749,0.00912143
,128,mse,mse,{'units': 4},40,0.003639446,0.00384642,0.007440581,0.004643751
